"","folio","ls","ls00","pid_link"
"717",165000,2,2,"0016500002"
"718",165000,3,3,""
"719",165000,4,4,"0016500004"
"720",165000,5,5,"0016500005"
"721",165003,1,1,"0016500003"
"722",165003,2,2,"0016500302"
"723",165003,3,3,"0016500303"
"724",165003,4,4,"0016500304"
"725",168000,1,1,"0016800001"
"726",168000,2,2,"0016800002"
"727",168000,3,3,"0016800003"
"728",168000,4,4,"0016800004"
"729",168000,5,5,"0016800005"
"730",169000,1,1,"0016900001"
"731",169000,2,2,"0016900002"
"732",169000,3,3,"0016900003"
"733",171000,1,1,"0017100001"
"734",171000,2,2,"0017100002"
"735",171000,3,3,"0017100003"
"736",171000,4,4,"0017100004"
"737",171000,5,5,"0017100005"
"738",171000,6,6,"0017100006"
"739",172000,1,1,"0017200001"
"740",172000,2,2,"0017200002"
"741",172000,3,3,"0017200003"
"742",172000,4,4,"0017200004"
"743",172000,5,5,"0017200005"
"744",172000,6,6,"0017200006"
"745",174000,1,1,"0017400001"
"746",174000,2,2,"0017400002"
"747",174000,3,3,"0017400003"
"748",174000,4,4,"0017400004"
"749",175000,1,1,"0017500001"
"750",175000,2,2,"0017500002"
"751",175000,3,3,"0017500003"
"752",176000,1,1,"0017600001"
"753",176000,2,2,"0017600002"
"754",176000,3,3,"0017600003"
"755",176000,4,4,"0017600004"
"756",176000,5,5,"0017600005"
"757",176000,6,6,"0017600006"
"758",178000,1,1,"0017800001"
"759",178000,2,2,"0017800002"
"760",178000,3,3,"0017800003"
"761",180000,1,1,"0018000001"
"762",180000,2,2,"0018000002"
"763",180000,3,3,"0018000003"
"764",180000,4,4,"0018000004"
"765",180000,5,5,"0018000005"
"766",181000,1,1,"0018100001"
"767",181000,2,2,"0018100002"
"768",181000,3,3,"0018100003"
"769",181000,4,4,"0018100004"
"770",183000,1,1,"0018300001"
"771",183000,2,2,"0018300002"
"772",183000,3,3,"0018300003"
"773",183000,4,4,"0018300004"
"774",185000,1,1,"0018500001"
"775",185000,2,2,"0018500002"
"776",185000,3,3,"0018500003"
"777",185000,4,4,"0018500004"
"778",188000,1,1,"0018800001"
"779",188000,2,2,"0018800002"
"780",188000,3,3,"0018800003"
"781",188000,4,4,"0018800004"
"782",188000,5,5,"0018800005"
"783",188000,6,6,"0018800006"
"784",189000,1,1,"0018900001"
"785",190000,1,1,"0019000001"
"786",190000,2,2,"0019000002"
"787",190000,3,3,"0019000003"
"788",190000,4,4,""
"789",190000,5,5,""
"790",190000,6,6,"0019000006"
"791",190004,1,1,"0019000401"
"792",190004,2,2,"0019000402"
"793",190004,3,3,"0019000004"
"794",190004,4,4,"0019000404"
"795",190005,1,1,"0019000005"
"796",190005,2,2,"0019000502"
"797",191000,1,1,"0019100001"
