Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 2009. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 04:44:53 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
02 Baja california,001 Ensenada,332    Fabricación de productos metálicos ,1587,1032,555,
02 Baja california,001 Ensenada,333    Fabricación de maquinaria y equipo ,160,84,76,
02 Baja california,001 Ensenada,334    Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios electrónicos ,3108,1156,1952,
02 Baja california,001 Ensenada,335    Fabricación de accesorios aparatos eléctricos y equipo de generación de energía eléctrica ,113,29,84,
02 Baja california,001 Ensenada,336    Fabricación de equipo de transporte ,1246,657,589,
02 Baja california,001 Ensenada,337    Fabricación de muebles colchones y persianas ,232,204,28,
02 Baja california,001 Ensenada,339    Otras industrias manufactureras ,3027,1368,1659,
07 Chiapas,002 Acala,311    Industria alimentaria ,138,69,69,
07 Chiapas,002 Acala,312    Industria de las bebidas y del tabaco ,19,19,0,
07 Chiapas,002 Acala,314    Fabricación de productos textiles excepto prendas de vestir ,1,0,1,
